Unnamed: 0,Graph1,Graph2,Hellinger,NetSimile,ResNet,KSTest,Label Hellinger (0.3764656311257355),Label NetSimile (16.839307102400703),Label ResNet (0.6958818435668945),Label KSTest (0.4532946624479778),Label
0,ba_graph_10000_36,ba_graph_10000_37,0.030885376,1.39834323,0.5984036,0.999999991,True,True,False,True,True
1,ba_graph_10000_36,ba_graph_10000_38,0.022387954,1.218597985,0.8238133,0.999999991,True,True,True,True,True
2,ba_graph_10000_36,ba_graph_10000_39,0.039339258,1.579687413,0.6572011,0.999999991,True,True,False,True,True
3,ba_graph_10000_36,ba_graph_10000_40,0.041901058,1.361689369,0.5084096,0.999999991,True,True,False,True,True
4,ba_graph_10000_36,ba_graph_10000_41,0.019826622,0.810733842,0.6514032,0.999999991,True,True,False,True,True
5,ba_graph_10000_36,ba_graph_10000_42,0.09073174,2.75106375,0.5969833,0.998839376,True,True,False,True,True
6,ba_graph_10000_36,ba_graph_10000_43,0.038891246,1.78875624,0.66339195,0.999999991,True,True,False,True,True
7,ba_graph_10000_36,ba_graph_10000_44,0.077540891,2.273969012,0.5962199,0.998839376,True,True,False,True,True
8,ba_graph_10000_36,ba_graph_10000_45,0.02657729,0.949548744,0.8745303,0.999999991,True,True,True,True,True
9,ba_graph_10000_36,ba_graph_2000_1,0.141894253,9.986816748,0.65589714,0.59407063,True,True,False,True,True
10,ba_graph_10000_36,ba_graph_2000_10,0.159781658,10.13212071,0.6311254,0.59407063,True,True,False,True,True
11,ba_graph_10000_36,ba_graph_2000_2,0.214923255,10.94985588,0.4876861,0.59407063,True,True,False,True,True
12,ba_graph_10000_36,ba_graph_2000_3,0.17137715,10.14294879,0.6539429,0.59407063,True,True,False,True,True
13,ba_graph_10000_36,ba_graph_2000_4,0.191152894,10.86028348,0.6385251,0.59407063,True,True,False,True,True
14,ba_graph_10000_36,ba_graph_2000_5,0.152668292,9.92341058,0.63444245,0.59407063,True,True,False,True,True
15,ba_graph_10000_36,ba_graph_2000_6,0.092709766,8.649254302,0.6451825,0.95784629,True,True,False,True,True
16,ba_graph_10000_36,ba_graph_2000_7,0.143867696,9.405128784,0.76089036,0.807963154,True,True,True,True,True
17,ba_graph_10000_36,ba_graph_2000_8,0.20971784,10.94730988,0.6895435,0.59407063,True,True,False,True,True
18,ba_graph_10000_36,ba_graph_2000_9,0.194867713,10.14124932,0.70368135,0.59407063,True,True,True,True,True
19,ba_graph_10000_36,ba_graph_2500_1,0.114798056,8.095039817,0.66467166,0.95784629,True,True,False,True,True
20,ba_graph_10000_36,ba_graph_2500_10,0.195590653,9.672745541,0.60296696,0.59407063,True,True,False,True,True
21,ba_graph_10000_36,ba_graph_2500_2,0.132079366,8.72068618,0.5619607,0.95784629,True,True,False,True,True
22,ba_graph_10000_36,ba_graph_2500_3,0.153110058,9.220993105,0.6258607,0.95784629,True,True,False,True,True
23,ba_graph_10000_36,ba_graph_2500_4,0.15420877,8.72070612,0.6618439,0.807963154,True,True,False,True,True
24,ba_graph_10000_36,ba_graph_2500_5,0.16597443,9.45752109,0.61120284,0.59407063,True,True,False,True,True
25,ba_graph_10000_36,ba_graph_2500_6,0.146152289,9.141508855,0.6520635,0.95784629,True,True,False,True,True
26,ba_graph_10000_36,ba_graph_2500_7,0.172801678,9.353000604,0.6183679,0.807963154,True,True,False,True,True
27,ba_graph_10000_36,ba_graph_2500_8,0.186853628,8.57833582,0.69183606,0.59407063,True,True,False,True,True
28,ba_graph_10000_36,ba_graph_2500_9,0.16400819,8.934842779,0.6355057,0.59407063,True,True,False,True,True
29,ba_graph_10000_36,ba_graph_3000_1,0.09713198,7.571242627,0.68218505,0.95784629,True,True,False,True,True
30,ba_graph_10000_36,ba_graph_3000_10,0.15522925,8.410231611,0.60955656,0.95784629,True,True,False,True,True
31,ba_graph_10000_36,ba_graph_3000_2,0.127420353,8.235381271,0.60426736,0.95784629,True,True,False,True,True
32,ba_graph_10000_36,ba_graph_3000_3,0.139257266,7.818311362,0.6828987,0.95784629,True,True,False,True,True
33,ba_graph_10000_36,ba_graph_3000_4,0.115058999,7.69224776,0.639169,0.95784629,True,True,False,True,True
34,ba_graph_10000_36,ba_graph_3000_5,0.137853818,7.70091368,0.6444099,0.95784629,True,True,False,True,True
35,ba_graph_10000_36,ba_graph_3000_6,0.168641491,8.33519762,0.6658647,0.95784629,True,True,False,True,True
36,ba_graph_10000_36,ba_graph_3000_7,0.194364536,8.87013412,0.600602,0.59407063,True,True,False,True,True
37,ba_graph_10000_36,ba_graph_3000_8,0.117387841,7.573985622,0.60517836,0.95784629,True,True,False,True,True
38,ba_graph_10000_36,ba_graph_3000_9,0.182699377,8.535268807,0.5951777,0.807963154,True,True,False,True,True
39,ba_graph_10000_36,ba_graph_7000_1,0.099100475,4.02778616,0.63703644,0.998839376,True,True,False,True,True
